1.864	-0.017395	0.0434875	0.0260925
1.866	-0.0164795	0.043335	0.0268555
1.868	-0.0170898	0.0437927	0.0267029
1.87	-0.0170898	0.0442505	0.0271606
1.872	-0.0164795	0.0448608	0.0283813
1.874	-0.0170898	0.0460815	0.0289917
1.876	-0.0177002	0.0473022	0.0296021
1.878	-0.0170898	0.0483704	0.0312805
1.88	-0.0177002	0.0494385	0.0317383
1.882	-0.0195313	0.0508118	0.0312805
1.884	-0.0204468	0.0517273	0.0312805
1.886	-0.020752	0.0524902	0.0317383
1.888	-0.0213623	0.0531006	0.0317383
1.89	-0.0201416	0.0531006	0.032959
1.892	-0.017395	0.0523376	0.0349426
1.894	-0.0161743	0.0517273	0.035553
1.896	-0.0152588	0.0512695	0.0360107
1.898	-0.0137329	0.0508118	0.0370789
1.9	-0.0137329	0.0511169	0.037384
1.902	-0.0152588	0.0518799	0.0366211
1.904	-0.0152588	0.0524902	0.0372314
1.906	-0.0149536	0.0532532	0.0382996
1.908	-0.015564	0.0544739	0.0389099
1.91	-0.0146484	0.0552368	0.0405884
1.912	-0.0128174	0.0556946	0.0428772
1.914	-0.0119019	0.0564575	0.0445557
1.916	-0.0112915	0.0569153	0.0456238
1.918	-0.0100708	0.0569153	0.0468445
1.92	-0.00976563	0.0569153	0.0471497
1.922	-0.00976563	0.0566101	0.0468445
1.924	-0.00854492	0.0553894	0.0468445
1.926	-0.00732422	0.0541687	0.0468445
1.928	-0.00823975	0.0532532	0.0450134
1.93	-0.00915527	0.0526428	0.0434875
1.932	-0.00915527	0.0520325	0.0428772
1.934	-0.0106812	0.0523376	0.0416565
1.936	-0.012207	0.0531006	0.0408936
1.938	-0.0119019	0.0534058	0.0415039
1.94	-0.0119019	0.0537109	0.0418091
1.942	-0.0119019	0.0541687	0.0422668
1.944	-0.0100708	0.0540161	0.0439453
1.946	-0.00854492	0.0540161	0.0454712
1.948	-0.00854492	0.0544739	0.045929
1.95	-0.00854492	0.0549316	0.0463867
1.952	-0.00793457	0.0552368	0.0473022
1.954	-0.0088501	0.0561523	0.0473022
1.956	-0.010376	0.0572205	0.0468445
